1,1,Princeton University,"Princeton, NJ"
2,2,Harvard University,"Cambridge, MA"
3,3,Yale University,"New Haven, CT"
4,4,Columbia University,"New York, NY"
5,4,Stanford University,"Stanford, CA"
6,4,University of Chicago,"Chicago, IL"
7,7,Massachusetts Institute of Technology,"Cambridge, MA"
8,8,Duke University,"Durham, NC"
9,8,University of Pennsylvania,"Philadelphia, PA"
10,10,California Institute of Technology,"Pasadena, CA"
11,11,Dartmouth College,"Hanover, NH"
12,12,Johns Hopkins University,"Baltimore, MD"
13,13,Northwestern University,"Evanston, IL"
14,14,Washington University in St. Louis,"St. Louis, MO"
15,15,Cornell University,"Ithaca, NY"
16,16,Brown University,"Providence, RI"
17,16,University of Notre Dame,"Notre Dame, IN"
18,16,Vanderbilt University,"Nashville, TN"
19,19,Rice University,"Houston, TX"
20,20,University of California - Berkeley,"Berkeley, CA"
21,21,Emory University,"Atlanta, GA"
22,21,Georgetown University,"Washington, DC"
23,23,University of California - Los Angeles,"Los Angeles, CA"
24,23,University of Virginia,"Charlottesville, VA"
25,25,Carnegie Mellon University,"Pittsburgh, PA"
26,25,University of Southern California,"Los Angeles, CA"
27,27,Tufts University,"Medford, MA"
28,27,Wake Forest University,"Winston-Salem, NC"
29,29,University of Michigan - Ann Arbor,"Ann Arbor, MI"
30,30,University of North Carolina - Chapel Hill,"Chapel Hill, NC"
31,31,Boston College,"Chestnut Hill, MA"
32,32,New York University,"New York, NY"
33,33,College of William and Mary,"Williamsburg, VA"
34,33,University of Rochester,"Rochester, NY"
35,35,Brandeis University,"Waltham, MA"
36,35,Georgia Institute of Technology,"Atlanta, GA"
37,37,University of California - San Diego,"La Jolla, CA"
38,38,Case Western Reserve University,"Cleveland, OH"
39,38,University of California - Davis,"Davis, CA"
40,40,Lehigh University,"Bethlehem, PA"
41,40,University of California - Santa Barbara,"Santa Barbara, CA"
42,42,Boston University,"Boston, MA"
43,42,Northeastern University,"Boston, MA"
44,42,Rensselaer Polytechnic Institute,"Troy, NY"
45,42,University of California - Irvine,"Irvine, CA"
46,42,University of Illinois - Urbana-​Champaign,"Champaign, IL"
47,47,University of Wisconsin - Madison,"Madison, WI"
48,48,Pennsylvania State University - University Park,"University Park, PA"
49,48,University of Florida,"Gainesville, FL"
50,48,University of Miami,"Coral Gables, FL"
51,48,University of Washington,"Seattle, WA"
52,48,Yeshiva University,"New York, NY"
53,53,University of Texas - Austin,"Austin, TX"
54,54,George Washington University,"Washington, DC"
55,54,Ohio State University - Columbus,"Columbus, OH"
56,54,Pepperdine University,"Malibu, CA"
57,54,Tulane University,"New Orleans, LA"
58,58,Fordham University,"New York, NY"
59,58,Southern Methodist University,"Dallas, TX"
60,58,Syracuse University,"Syracuse, NY"
61,58,University of Connecticut,"Storrs, CT"
62,62,Brigham Young University - Provo,"Provo, UT"
63,62,Clemson University,"Clemson, SC"
64,62,Purdue University - West Lafayette,"West Lafayette, IN"
65,62,University of Georgia,"Athens, GA"
66,62,University of Maryland - College Park,"College Park, MD"
67,62,University of Pittsburgh,"Pittsburgh, PA"
68,68,Texas A&M University - College Station,"College Station, TX"
69,68,Worcester Polytechnic Institute,"Worcester, MA"
70,70,"Rutgers, The State University of New Jersey - New Brunswick","Piscataway, NJ"
71,71,American University,"Washington, DC"
72,71,Baylor University,"Waco, TX"
73,71,University of Iowa,"Iowa City, IA"
74,71,University of Minnesota - Twin Cities,"Minneapolis, MN"
75,71,Virginia Tech,"Blacksburg, VA"
76,76,Clark University,"Worcester, MA"
77,76,Indiana University - Bloomington,"Bloomington, IN"
78,76,Marquette University,"Milwaukee, WI"
79,76,Miami University - Oxford,"Oxford, OH"
80,76,Stevens Institute of Technology,"Hoboken, NJ"
81,76,SUNY College of Environmental Science and Forestry,"Syracuse, NY"
82,76,Texas Christian University,"Fort Worth, TX"
83,76,University of Delaware,"Newark, DE"
84,76,University of Massachusetts - Amherst,"Amherst, MA"
85,85,Michigan State University,"East Lansing, MI"
86,85,University of California - Santa Cruz,"Santa Cruz, CA"
87,85,University of Vermont,"Burlington, VT"
88,88,Binghamton University - SUNY,"Binghamton, NY"
89,88,Colorado School of Mines,"Golden, CO"
90,88,Stony Brook University - SUNY,"Stony Brook, NY"
91,88,University of Alabama,"Tuscaloosa, AL"
92,88,University of Colorado - Boulder,"Boulder, CO"
93,88,University of Denver,"Denver, CO"
94,88,University of Tulsa,"Tulsa, OK"
95,95,Drexel University,"Philadelphia, PA"
96,95,Florida State University,"Tallahassee, FL"
97,95,North Carolina State University - Raleigh,"Raleigh, NC"
98,95,University of San Diego,"San Diego, CA"
99,99,Saint Louis University,"St. Louis, MO"
100,99,University of Missouri,"Columbia, MO"
101,99,University of Nebraska - Lincoln,"Lincoln, NE"
102,99,University of New Hampshire,"Durham, NH"
103,103,Auburn University,"Auburn, AL"
104,103,University at Buffalo - SUNY,"Buffalo, NY"
105,103,University of Dayton,"Dayton, OH"
106,106,Iowa State University,"Ames, IA"
107,106,Loyola University Chicago,"Chicago, IL"
108,106,University of Kansas,"Lawrence, KS"
109,106,University of Oklahoma,"Norman, OK"
110,106,University of Oregon,"Eugene, OR"
111,106,University of San Francisco,"San Francisco, CA"
112,106,University of Tennessee,"Knoxville, TN"
113,113,University of California - Riverside,"Riverside, CA"
114,113,University of South Carolina,"Columbia, SC"
115,113,University of St. Thomas,"St. Paul, MN"
116,116,The Catholic University of America,"Washington, DC"
117,116,Duquesne University,"Pittsburgh, PA"
118,116,Illinois Institute of Technology,"Chicago, IL"
119,116,Michigan Technological University,"Houghton, MI"
120,116,University of the Pacific,"Stockton, CA"
121,121,Clarkson University,"Potsdam, NY"
122,121,Colorado State University,"Fort Collins, CO"
123,121,DePaul University,"Chicago, IL"
124,121,Temple University,"Philadelphia, PA"
125,121,University of Arizona,"Tucson, AZ"
126,126,"Rutgers, The State University of New Jersey - Newark","Newark, NJ"
127,126,Seton Hall University,"South Orange, NJ"
128,126,University at Albany - SUNY,"Albany, NY"
129,129,Arizona State University - Tempe,"Tempe, AZ"
130,129,Louisiana State University - Baton Rouge,"Baton Rouge, LA"
131,129,Ohio University,"Athens, OH"
132,129,University of Cincinnati,"Cincinnati, OH"
133,129,University of Kentucky,"Lexington, KY"
134,129,University of Utah,"Salt Lake City, UT"
135,135,Hofstra University,"Hempstead, NY"
136,135,New School,"New York, NY"
137,135,University of Arkansas,"Fayetteville, AR"
138,138,George Mason University,"Fairfax, VA"
139,138,Missouri University of Science & Technology,"Rolla, MO"
140,138,Oregon State University,"Corvallis, OR"
141,138,Washington State University,"Pullman, WA"
142,142,Illinois State University,"Normal, IL"
143,142,Kansas State University,"Manhattan, KS"
144,142,St. John Fisher College,"Rochester, NY"
145,145,Howard University,"Washington, DC"
146,145,Oklahoma State University,"Stillwater, OK"
147,145,St. John's University,"Queens, NY"
148,145,University of Texas - Dallas,"Richardson, TX"
149,149,Adelphi University,"Garden City, NY"
150,149,New Jersey Institute of Technology,"Newark, NJ"
151,149,San Diego State University,"San Diego, CA"
152,149,University of Alabama - Birmingham,"Birmingham, AL"
153,149,University of Illinois - Chicago,"Chicago, IL"
154,149,University of Maryland - Baltimore County,"Baltimore, MD"
155,149,University of Mississippi,"University, MS"
156,156,Maryville University of St. Louis,"St Louis, MO"
157,156,Mississippi State University,"Mississippi State, MS"
158,156,Texas Tech University,"Lubbock, TX"
159,156,University of Massachusetts - Lowell,"Lowell, MA"
160,156,Virginia Commonwealth University,"Richmond, VA"
161,161,Biola University,"La Mirada, CA"
162,161,University of Louisville,"Louisville, KY"
163,161,University of Rhode Island,"Kingston, RI"
164,161,University of South Florida,"Tampa, FL"
165,161,University of Wyoming,"Laramie, WY"
166,166,University of Idaho,"Moscow, ID"
167,166,University of La Verne,"La Verne, CA"
168,168,Andrews University,"Berrien Springs, MI"
169,168,University of Hawaii - Manoa,"Honolulu, HI"
170,168,University of North Dakota,"Grand Forks, ND"
171,168,University of South Dakota,"Vermillion, SD"
172,168,West Virginia University,"Morgantown, WV"
173,173,Azusa Pacific University,"Azusa, CA"
174,173,Ball State University,"Muncie, IN"
175,173,Bowling Green State University,"Bowling Green, OH"
176,173,Florida Institute of Technology,"Melbourne, FL"
177,173,Pace University,"New York, NY"
178,173,University of Central Florida,"Orlando, FL"
179,173,University of Maine,"Orono, ME"
180,173,Western Michigan University,"Kalamazoo, MI"
181,181,Edgewood College,"Madison, WI"
182,181,Immaculata University,"Immaculata, PA"
183,181,North Dakota State University,"Fargo, ND"
184,181,South Dakota State University,"Brookings, SD"
185,181,Spalding University,"Louisville, KY"
186,181,St. Mary's University of Minnesota,"Winona, MN"
187,181,University of Alabama - Huntsville,"Huntsville, AL"
188,181,University of North Carolina - Greensboro,"Greensboro, NC"
189,189,Southern Illinois University - Carbondale,"Carbondale, IL"
190,189,University of Houston,"Houston, TX"
191,189,University of Missouri - Kansas City,"Kansas City, MO"
192,189,University of New Mexico,"Albuquerque, NM"
193,189,Widener University,"Chester, PA"
194,194,Central Michigan University,"Mount Pleasant, MI"
195,194,Indiana University-​Purdue University - Indianapolis,"Indianapolis, IN"
196,194,Kent State University,"Kent, OH"
197,194,Northern Illinois University,"DeKalb, IL"
198,194,University of Montana,"Missoula, MT"
199,194,University of Nevada - Reno,"Reno, NV"
200,194,Utah State University,"Logan, UT"
201,201,Louisiana Tech University,"Ruston, LA"
202,201,University of North Carolina - Charlotte,"Charlotte, NC"
203,203,Ashland University,"Ashland, OH"
204,204,Barry University,"Miami Shores, FL"
205,205,Benedictine University,"Lisle, IL"
206,206,Bowie State University,"Bowie, MD"
207,207,Cardinal Stritch University,"Milwaukee, WI"
208,208,Clark Atlanta University,"Atlanta, GA"
209,209,Cleveland State University,"Cleveland, OH"
210,210,East Carolina University,"Greenville, NC"
211,211,East Tennessee State University,"Johnson City, TN"
212,212,Florida A&M University,"Tallahassee, FL"
213,213,Florida Atlantic University,"Boca Raton, FL"
214,214,Florida International University,"Miami, FL"
215,215,Georgia Southern University,"Statesboro, GA"
216,216,Georgia State University,"Atlanta, GA"
217,217,Indiana State University,"Terre Haute, IN"
218,218,Indiana University of Pennsylvania,"Indiana, PA"
219,219,Jackson State University,"Jackson, MS"
220,220,Lamar University,"Beaumont, TX"
221,221,Lynn University,"Boca Raton, FL"
222,222,Middle Tennessee State University,"Murfreesboro, TN"
223,223,Montana State University,"Bozeman, MT"
224,224,Morgan State University,"Baltimore, MD"
225,225,National-​Louis University,"Chicago, IL"
226,226,New Mexico State University,"Las Cruces, NM"
227,227,North Carolina A&T State University,"Greensboro, NC"
228,228,Northern Arizona University,"Flagstaff, AZ"
229,229,Nova Southeastern University,"Ft. Lauderdale, FL"
230,230,Oakland University,"Rochester, MI"
231,231,Old Dominion University,"Norfolk, VA"
232,232,Our Lady of the Lake University,"San Antonio, TX"
233,233,Portland State University,"Portland, OR"
234,234,Regent University,"Virginia Beach, VA"
235,235,Sam Houston State University,"Huntsville, TX"
236,236,South Carolina State University,"Orangeburg, SC"
237,237,Tennessee State University,"Nashville, TN"
238,238,Texas A&M University - Commerce,"Commerce, TX"
239,239,Texas A&M University - Corpus Christi,"Corpus Christi, TX"
240,240,Texas A&M University - Kingsville,"Kingsville, TX"
241,241,Texas Southern University,"Houston, TX"
242,242,Texas Woman's University,"Denton, TX"
243,243,Trevecca Nazarene University,"Nashville, TN"
244,244,Trinity International University,"Deerfield, IL"
245,245,University of Akron,"Akron, OH"
246,246,University of Alaska - Fairbanks,"Fairbanks, AK"
247,247,University of Arkansas - Little Rock,"Little Rock, AR"
248,248,University of Colorado - Denver,"Denver, CO"
249,249,University of Louisiana - Lafayette,"Lafayette, LA"
250,250,University of Massachusetts - Boston,"Boston, MA"
251,251,University of Memphis,"Memphis, TN"
252,252,University of Missouri - St. Louis,"St. Louis, MO"
253,253,University of Nebraska - Omaha,"Omaha, NE"
254,254,University of Nevada - Las Vegas,"Las Vegas, NV"
255,255,University of New Orleans,"New Orleans, LA"
256,256,University of Northern Colorado,"Greeley, CO"
257,257,University of North Texas,"Denton, TX"
258,258,University of South Alabama,"Mobile, AL"
259,259,University of Southern Mississippi,"Hattiesburg, MS"
260,260,University of Texas - Arlington,"Arlington, TX"
261,261,University of Texas - El Paso,"El Paso, TX"
262,262,University of Texas - San Antonio,"San Antonio, TX"
263,263,University of Toledo,"Toledo, OH"
264,264,University of West Florida,"Pensacola, FL"
265,265,University of Wisconsin - Milwaukee,"Milwaukee, WI"
266,266,Wayne State University,"Detroit, MI"
267,267,Wichita State University,"Wichita, KS"
268,268,Wright State University,"Dayton, OH"
269,269,Alliant International University,"San Diego, CA"
270,270,Argosy University,"Orange, CA"
271,271,California Institute of Integral Studies,"San Francisco, CA"
272,272,Capella University,"Minneapolis, MN"
273,273,Colorado Technical University,"Colorado Springs, CO"
274,274,Idaho State University,"Pocatello, ID"
275,275,Northcentral University,"Prescott Valley, AZ"
276,276,Trident University International,"Cypress, CA"
277,277,Union Institute and University,"Cincinnati, OH"
278,278,University of Phoenix,"Phoenix, AZ"
279,279,Walden University,"Minneapolis, MN"
280,280,Wilmington University,"New Castle, DE"
